iterations,max_attempts,schedule,best_fitness,time
140,150,exp,51.0,0.00897526741027832
140,150,arith,40.0,0.008975744247436523
145,150,geom,51.0,0.008945226669311523
145,150,exp,51.0,0.00900888442993164
145,150,arith,42.0,0.009010076522827148
150,150,geom,51.0,0.009973764419555664
150,150,exp,51.0,0.00997781753540039
150,150,arith,42.0,0.009968996047973633
155,150,geom,51.0,0.00897979736328125
155,150,exp,51.0,0.010004997253417969
155,150,arith,43.0,0.009963274002075195
160,150,geom,51.0,0.009978532791137695
160,150,exp,51.0,0.009973526000976562
160,150,arith,43.0,0.00997161865234375
165,150,geom,51.0,0.009973526000976562
165,150,exp,51.0,0.009981155395507812
165,150,arith,45.0,0.009972572326660156
170,150,geom,51.0,0.009971141815185547
170,150,exp,51.0,0.009980916976928711
170,150,arith,44.0,0.0189816951751709
175,150,geom,51.0,0.013965129852294922
175,150,exp,51.0,0.011969327926635742
175,150,arith,44.0,0.017953157424926758
180,150,geom,51.0,0.014959096908569336
180,150,exp,53.0,0.012964725494384766
180,150,arith,44.0,0.01495981216430664
185,150,geom,51.0,0.014959335327148438
185,150,exp,53.0,0.01299428939819336
185,150,arith,42.0,0.01299428939819336
190,150,geom,51.0,0.011968135833740234
190,150,exp,53.0,0.012958049774169922
190,150,arith,40.0,0.012000560760498047
195,150,geom,51.0,0.011969327926635742
195,150,exp,53.0,0.01197671890258789
195,150,arith,42.0,0.013012409210205078
200,150,geom,51.0,0.011936664581298828
200,150,exp,53.0,0.011973142623901367
200,150,arith,42.0,0.011967897415161133
205,150,geom,51.0,0.01196908950805664
205,150,exp,53.0,0.011969327926635742
205,150,arith,42.0,0.012955427169799805
210,150,geom,51.0,0.012964963912963867
210,150,exp,53.0,0.012928247451782227
210,150,arith,40.0,0.013925552368164062
215,150,geom,51.0,0.012970209121704102
215,150,exp,53.0,0.012975215911865234
215,150,arith,40.0,0.013995170593261719
220,150,geom,51.0,0.012964248657226562
220,150,exp,53.0,0.012969970703125
220,150,arith,40.0,0.012965917587280273
225,150,geom,51.0,0.01296687126159668
225,150,exp,53.0,0.014959573745727539
225,150,arith,42.0,0.014956474304199219
230,150,geom,51.0,0.01395416259765625
230,150,exp,53.0,0.013959884643554688
230,150,arith,44.0,0.015924692153930664
235,150,geom,51.0,0.014962911605834961
235,150,exp,53.0,0.014991998672485352
235,150,arith,40.0,0.014961957931518555
240,150,geom,51.0,0.013968467712402344
240,150,exp,53.0,0.013962030410766602
240,150,arith,42.0,0.014970779418945312
245,150,geom,51.0,0.013972043991088867
245,150,exp,53.0,0.01495814323425293
245,150,arith,42.0,0.015957355499267578
