iterations,max_attempts,restarts,best_fitness,time
5,100,50,5.0,0.008016109466552734
5,100,100,8.0,0.013967037200927734
10,100,50,11.0,0.011954307556152344
10,100,100,11.0,0.02394390106201172
15,100,50,7.0,0.018948793411254883
15,100,100,12.0,0.037889957427978516
20,100,50,10.0,0.024979352951049805
20,100,100,10.0,0.04790329933166504
25,100,50,10.0,0.028923749923706055
25,100,100,10.0,0.05588722229003906
30,100,50,45.0,0.03293776512145996
30,100,100,50.0,0.06486225128173828
35,100,50,13.0,0.04187798500061035
35,100,100,14.0,0.07782554626464844
40,100,50,53.0,0.04388999938964844
40,100,100,53.0,0.09376740455627441
