algorithm,restarts,pop_size,mutation_prob,max_iters,learning_rate,layers,activation,early_stopping,train_error,test_error,time_elapsed,iterations,fitness
gradient_descent,0,200,0.1,10,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,0.9667227268218994,10,-5.987903611931403
gradient_descent,0,200,0.1,20,0.05,[15],relu,False,0.7788095238095238,0.7785555555555556,1.692624807357788,20,-2.432772530883523
gradient_descent,0,200,0.1,30,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,2.8425104618072514,30,-1.7906847809789874
gradient_descent,0,200,0.1,40,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,4.223278284072877,40,-1.5389756035579707
gradient_descent,0,200,0.1,50,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,5.340609312057495,50,-1.5207559362975132
gradient_descent,0,200,0.1,60,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,5.713473081588745,60,-1.3649280207144174
gradient_descent,0,200,0.1,70,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,5.922095775604247,70,-1.2920503813408626
gradient_descent,0,200,0.1,80,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,6.840819835662843,80,-1.3592622850113618
gradient_descent,0,200,0.1,90,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,7.5114495754241934,90,-1.2543797226518771
gradient_descent,0,200,0.1,100,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,8.438470363616942,100,-1.0071133056609092
gradient_descent,0,200,0.1,110,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,9.38139820098877,110,-0.9944493285556276
gradient_descent,0,200,0.1,120,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,10.162592172622679,120,-1.027762869327371
gradient_descent,0,200,0.1,130,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,10.821146011352539,130,-1.0415843769583435
gradient_descent,0,200,0.1,140,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,12.161295890808105,140,-0.9299550717591212
gradient_descent,0,200,0.1,150,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,15.173587083816528,150,-1.0545808763506923
gradient_descent,0,200,0.1,160,0.05,[15],relu,False,0.7788095238095238,0.7785555555555556,16.509527206420902,160,-0.9741626148099016
gradient_descent,0,200,0.1,170,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,17.684045791625977,170,-1.036139598964969
gradient_descent,0,200,0.1,180,0.05,[15],relu,False,0.7788095238095238,0.7787777777777778,18.7678656578064,180,-0.8646243506730572
gradient_descent,0,200,0.1,190,0.05,[15],relu,False,0.7788095238095238,0.7786666666666666,20.640517234802246,190,-1.0440202725900927
