trial,n_iter,gamma,alpha,alpha_decay,alpha_min,epsilon,epsilon_decay,epsilon_min,time,vi_pi_error,vi_error,pi_error,mean_v
0.0,10493.0,0.4732595621676793,0.2532450134355626,0.9997705332986896,0.15005090531520546,0.7316665683057526,0.9998329644201632,0.3356280521500233,13.501882553100586,13.82343561344914,19.215901433954848,5.392465820505707,14.107774075231598
1.0,11179.0,0.6831431004799686,0.7560249797085314,0.9997279684825509,0.2007924848682411,0.9968259517775916,0.9998336746608564,0.785875508276612,18.572359800338745,13.82343561344914,18.375524927940774,4.552089314491634,33.676044790397576
2.0,10312.0,0.5352701394889684,0.9587294623422192,0.9996814101729176,0.08608101416295869,0.5866688199758079,0.9998740297509208,0.09666621984833644,19.326339960098267,13.82343561344914,19.920791265932856,6.097355652483714,0.0
3.0,10985.0,0.9435080972709698,0.6473891663538129,0.9992859594647536,0.2275415521081833,0.6661602630601827,0.9991306555161849,0.26000852720341794,19.511843204498287,13.82343561344914,19.693249713824674,5.869814100375531,0.5603210720664015
4.0,10826.0,0.7288546228415146,0.4387464745418841,0.9998960864502568,0.030612212351664763,0.7891622814958759,0.9996643703540912,0.163492674164708,18.65014815330505,13.82343561344914,19.920791265932856,6.097355652483714,0.0
5.0,11472.0,0.8624563383851303,0.5157679110660593,0.9996837962362478,0.05209055900431423,0.5671224822691556,0.9997337286927604,0.5318754493381728,11.29578423500061,13.82343561344914,19.742491160781523,5.919055547332383,3.2804193819953937
0.0,10463.0,0.7755850971709726,0.889701773191766,0.9993554073378248,0.12038056455655576,0.6018250602662456,0.9996289559142651,0.6844310641584931,17.092288970947266,7.679156933886405,9.221618188449721,1.542461254563314,6.456388531789206
1.0,10849.0,0.8092201000915449,0.22863817881113244,0.9996641014415196,0.11675611101801255,0.7963055403946278,0.9993845760685754,0.12102347245066428,16.580647230148315,7.679156933886405,9.463053263994588,1.7838963301081838,2.479921108885648
2.0,11981.0,0.702570808219648,0.8565669507369673,0.999557123932698,0.2598657762663951,0.6776069224096024,0.9993520161524208,0.06259516659853577,12.655184984207153,7.679156933886405,9.432311956652663,1.7531550227662585,3.649779576524701
3.0,10324.0,0.5120649717075387,0.2796141552664804,0.9991157217984028,0.06673324771238752,0.6079975988215867,0.9997154104025258,0.5115090765014123,13.404138565063475,7.679156933886405,9.496930047486376,1.8177731135999728,0.8438419173231404
4.0,10670.0,0.9952819968188996,0.466168757713564,0.9998263607118572,0.26138201581918424,0.8910867246303683,0.9996629753340056,0.6260627836275997,18.34218716621399,7.679156933886405,9.30228127937958,1.623124345493176,2.676551841988448
5.0,11238.0,0.9884967785311478,0.7767347196636991,0.9998953006208859,0.2117688517996208,0.8559746792785898,0.9998088600174244,0.34601423972400136,12.870508193969727,7.679156933886405,9.563663295198763,1.8845063613123605,0.0
6.0,10901.0,0.6729659616045234,0.2969878756506226,0.9997239605128456,0.17474369331443812,0.9035644172058552,0.9997314590342702,0.06161308738702478,20.70064234733581,7.679156933886405,9.419454960237498,1.7402980263510923,1.405096877343042
7.0,10249.0,0.5006424091844428,0.2345857753474171,0.9995519904899068,0.28245148156036554,0.6537153030544309,0.9991547019653536,0.7112920181373524,15.25622034072876,7.679156933886405,9.151005400128447,1.4718484662420424,7.404597585482548
8.0,10082.0,0.8069781617583877,0.3118463898444545,0.9997383748956692,0.18670057571036214,0.5454536811743738,0.9998294137291698,0.2771436145750629,18.927751779556274,7.679156933886405,9.376962719488404,1.697805785601998,3.5081038175977035
9.0,10432.0,0.8496634455123002,0.5969834792661648,0.9992772838127176,0.2334223922588121,0.9315540515535782,0.9998778944444032,0.18796702000664314,16.205747127532963,7.679156933886405,8.835464617125247,1.3174215108066356,8.914220520483429
10.0,10435.0,0.7386298880680371,0.6835170199687668,0.999791282526567,0.14467141025358465,0.8193612041184347,0.9998292687089004,0.37664750455810825,10.36528182029724,7.679156933886405,9.439921701889944,1.7607647680035368,2.3818745919474598
11.0,10839.0,0.5875401958065972,0.8032288348916938,0.9993495094032367,0.08154719981041708,0.8167682366811752,0.9995401864005784,0.8090398404673336,16.047075033187866,7.679156933886405,9.48211609538835,1.8029591615019431,0.5031462228302732
12.0,10932.0,0.5807459524850365,0.6107049320618201,0.9992243915613058,0.2634536315262318,0.5934216131235324,0.9998174560385364,0.6175958875654447,17.307672023773193,7.679156933886405,8.95099217066933,1.271835236782926,13.218353023657572
13.0,11041.0,0.9702028974445982,0.8310163946221063,0.9998643107626528,0.041361178404452366,0.7168530965172264,0.9997109566781321,0.4713932220981798,16.31588363647461,7.679156933886405,9.480940938389859,1.801784004503456,0.7826568983582496
14.0,10890.0,0.7295430663985963,0.6414401067863018,0.9998267662950254,0.2783813889578532,0.5606839510686719,0.9998061827831296,0.7800536003539345,18.374998331069946,7.679156933886405,8.749478512325812,1.0703215784394071,3.99333721916708
15.0,11495.0,0.7931993144940876,0.4426669342060772,0.9996343688983992,0.1339628189641689,0.8212557421239409,0.9998563088459728,0.1026703631320428,11.243922472000122,7.679156933886405,9.313683694135252,1.6345267602488491,3.7120986487711134
16.0,10391.0,0.9959443370075248,0.5346782987890153,0.9996569719801452,0.2117083171701887,0.981471493669296,0.9996501140858242,0.2188372579664339,12.102624893188475,7.679156933886405,9.563663295198763,1.8845063613123605,0.0
17.0,10607.0,0.6961609154424888,0.2454784756875925,0.9998768477644574,0.10946819759417456,0.7380500896210507,0.9994777352305204,0.17568981854864274,14.593963146209715,7.679156933886405,9.454195097604591,1.7750381637181856,0.8779349447052801
18.0,11069.0,0.6877526337607429,0.3382791332243753,0.9998860615344995,0.2919480891226616,0.778345326180155,0.9997317373859608,0.4565424811753359,20.651755809783932,7.679156933886405,9.271715206076104,1.5925582721896987,5.6685895689467305
19.0,10729.0,0.7330598293117214,0.5888407151027775,0.9998942907826767,0.23976538165273054,0.9809563255599896,0.9996224350289888,0.7660520257876329,19.7860746383667,7.679156933886405,9.159366889882518,1.4802099559961135,9.504657640440254
