trial,n_iter,gamma,alpha,alpha_decay,alpha_min,epsilon,epsilon_decay,epsilon_min,time,vi_pi_error,vi_error,pi_error,mean_v
0.0,10284.0,0.4997201474125985,0.38557094906630135,0.999067212042672,0.18048588142109934,0.7125917356501155,0.9998370835514496,0.7829217416680143,3.6592025756835938,0.06631400495402981,66278.54174614663,66278.60806015159,9145.997878522476
1.0,11468.0,0.9272270760141282,0.6622944433630582,0.999746383153882,0.2598428070609577,0.8594946371182735,0.999524919321641,0.07815059382018212,3.3231451511383057,0.06631400495402981,65796.55891915558,65796.62523316054,51455.378310267064
2.0,11097.0,0.8401040189434399,0.4093529569774656,0.9998079936144602,0.1990555814666267,0.8933194878245622,0.9992771872915139,0.09388196114774293,5.898190021514893,0.06631400495402981,65990.05777726168,65990.12409126663,37494.8557577528
3.0,10655.0,0.9655658050047966,0.4062746483516084,0.999560180125092,0.05919026513492109,0.8131782923213391,0.9994550369940988,0.04784451019820817,3.673208236694336,0.06631400495402981,66182.76824730402,66182.83456130898,14900.716730133057
4.0,11913.0,0.7524915048137311,0.35301000806589555,0.9996281667973826,0.2922819185133877,0.9171189017007246,0.9998898319324342,0.17819679623986748,3.299138069152832,0.06631400495402981,66160.64981093362,66160.71612493857,21836.085539647967
5.0,11174.0,0.5820560234134311,0.7794689710604329,0.9998463165029472,0.19118572621259086,0.5033383610303029,0.99960617135458,0.0228288620503258,4.287499189376831,0.06631400495402981,66220.40194355673,66220.46825756165,19108.58204608601
6.0,10557.0,0.923416545565541,0.6222820524784806,0.999861237107716,0.2891845955649654,0.9329626935440782,0.9994995191512164,0.20062433930212809,3.021916151046753,0.06631400495402981,65902.86935457068,65902.93566857565,34894.338777948215
7.0,10092.0,0.8776239240112904,0.6261459955468213,0.9997913044140824,0.2118636547955473,0.8070725219773034,0.999306949989533,0.7985629066633306,5.526240825653076,0.06631400495402981,66017.77491921668,66017.84123322162,29936.032570844487
8.0,11209.0,0.5851417112919264,0.33508850458339945,0.9996376524211744,0.08370807264800308,0.9899168610358046,0.9997575488427858,0.33541578140165673,5.13925313949585,0.06631400495402981,66252.52626906452,66252.59258306949,12142.517611399851
9.0,10095.0,0.8980579645640299,0.36312773241403296,0.9998596225516688,0.09343677572507178,0.7727341919534201,0.9997687159860488,0.3652278956124731,3.5406365394592285,0.06631400495402981,66129.21560224741,66129.28191625235,19405.196759718878
10.0,11193.0,0.7725073270831219,0.9689413665780542,0.9997063936414649,0.1126950316039838,0.8451445230417343,0.9995601604298652,0.7501224950382619,5.803902626037598,0.06631400495402981,66176.77480648727,66176.84112049223,20812.01220830076
11.0,11053.0,0.7318023031406045,0.6015578601552938,0.9998597403950252,0.03752428401967567,0.6064670514463513,0.9993203919237641,0.4985212614759454,3.52852725982666,0.06631400495402981,66222.07209098409,66222.13840498902,18402.66061283547
12.0,10801.0,0.9951765945931844,0.805274742750512,0.9996748902559958,0.05811501657474567,0.7211865516474556,0.9993294884693412,0.3066210525976393,3.9733698368072514,0.06631400495402981,66075.14847957222,66075.21479357718,26482.997676898936
13.0,11579.0,0.4992762494087689,0.6147443664389227,0.999873153485234,0.19886347523767825,0.5111815923243561,0.9995903385806534,0.18250193422692887,4.270933151245116,0.06631400495402981,66244.56958830461,66244.63590230957,17249.563225055357
